lambda	n	k
0.20	1.73	0.07
0.20	1.71	0.06
0.20	1.70	0.04
0.20	1.69	0.02
0.20	1.69	0.00
0.20	1.67	0.01
0.21	1.67	0.02
0.21	1.67	0.02
0.21	1.67	0.02
0.21	1.67	0.01
0.21	1.65	0.03
0.21	1.66	0.01
0.21	1.66	0.03
0.21	1.64	0.03
0.21	1.62	0.00
0.21	1.61	0.00
0.22	1.62	0.01
0.22	1.61	0.00
0.22	1.62	0.01
0.22	1.63	0.02
0.22	1.62	0.01
0.22	1.62	0.01
0.22	1.62	0.01
0.22	1.64	0.02
0.22	1.63	0.03
0.23	1.64	0.02
0.23	1.63	0.02
0.23	1.61	0.02
0.23	1.60	0.00
0.23	1.59	0.01
0.23	1.59	0.03
0.23	1.58	0.02
0.23	1.56	0.01
0.23	1.54	0.02
0.23	1.54	0.01
0.23	1.53	0.02
0.24	1.51	0.02
0.24	1.53	0.01
0.24	1.55	0.00
0.24	1.56	0.00
0.24	1.56	0.00
0.24	1.53	0.00
0.24	1.49	0.00
0.24	1.43	0.01
0.24	1.41	0.03
0.24	1.40	0.03
0.25	1.42	0.02
0.25	1.45	0.02
0.25	1.51	0.01
0.25	1.55	0.00
0.25	1.55	0.00
0.25	1.52	0.00
0.25	1.49	0.00
0.25	1.46	0.00
0.25	1.45	0.00
0.26	1.45	0.00
0.26	1.46	0.00
0.26	1.46	0.01
0.26	1.48	0.00
0.26	1.49	0.00
0.26	1.46	0.00
0.26	1.45	0.00
0.26	1.45	0.00
0.26	1.46	0.01
0.26	1.47	0.00
0.27	1.48	0.00
0.27	1.50	0.00
0.27	1.50	0.00
0.27	1.49	0.01
0.27	1.49	0.01
0.27	1.48	0.00
0.27	1.46	0.00
0.27	1.47	0.01
0.27	1.49	0.01
0.27	1.49	0.01
0.28	1.51	0.00
0.28	1.54	0.00
0.28	1.53	0.00
0.28	1.51	0.00
0.28	1.52	0.00
0.28	1.53	0.00
0.28	1.53	0.01
0.28	1.51	0.00
0.28	1.50	0.01
0.28	1.50	0.00
0.28	1.49	0.00
0.29	1.51	0.01
0.29	1.52	0.01
0.29	1.53	0.01
0.29	1.52	0.01
0.29	1.53	0.00
0.29	1.50	0.00
0.29	1.47	0.00
0.29	1.46	0.00
0.29	1.45	0.00
0.29	1.48	0.01
0.30	1.50	0.01
0.30	1.51	0.01
0.30	1.52	0.00
0.30	1.50	0.00
0.30	1.49	0.00
0.30	1.47	0.00
0.30	1.49	0.00
0.30	1.49	0.00
0.30	1.48	0.00
0.30	1.47	0.00
0.31	1.46	0.00
0.31	1.48	0.00
0.31	1.45	0.00
0.31	1.45	0.00
0.31	1.48	0.00
0.31	1.48	0.01
0.31	1.48	0.00
0.31	1.47	0.00
0.31	1.49	0.00
0.32	1.48	0.00
0.32	1.47	0.00
0.32	1.48	0.00
0.32	1.48	0.00
0.32	1.45	0.00
0.32	1.45	0.00
0.32	1.44	0.00
0.32	1.44	0.00
0.32	1.45	0.00
0.32	1.49	0.00
0.33	1.52	0.00
0.33	1.52	0.00
0.33	1.54	0.00
0.33	1.54	0.00
0.33	1.53	0.00
0.33	1.47	0.01
0.33	1.45	0.01
0.33	1.45	0.01
0.33	1.44	0.00
0.33	1.44	0.00
0.34	1.42	0.01
0.34	1.44	0.01
0.34	1.46	0.01
0.34	1.47	0.00
0.34	1.47	0.00
0.34	1.45	0.00
0.34	1.47	0.00
0.34	1.47	0.00
0.34	1.48	0.00
0.34	1.47	0.00
0.34	1.46	0.00
0.35	1.47	0.00
0.35	1.48	0.00
0.35	1.50	0.00
0.35	1.48	0.00
0.35	1.47	0.00
0.35	1.47	0.00
0.35	1.47	0.00
0.35	1.46	0.00
0.35	1.46	0.00
0.35	1.46	0.00
0.36	1.48	0.00
0.36	1.48	0.00
0.36	1.48	0.00
0.36	1.47	0.00
0.36	1.47	0.00
0.36	1.46	0.00
0.36	1.47	0.00
0.36	1.48	0.01
0.36	1.48	0.01
0.36	1.48	0.01
0.37	1.49	0.00
0.37	1.49	0.00
0.37	1.49	0.00
0.37	1.48	0.00
0.37	1.47	0.00
0.37	1.47	0.00
0.37	1.48	0.00
0.37	1.48	0.00
0.37	1.49	0.00
0.38	1.51	0.00
0.38	1.52	0.00
0.38	1.52	0.00
0.38	1.52	0.00
0.38	1.50	0.00
0.38	1.49	0.00
0.38	1.47	0.00
0.38	1.48	0.01
0.38	1.48	0.01
0.38	1.48	0.01
0.39	1.49	0.00
0.39	1.51	0.00
0.39	1.52	0.00
0.39	1.53	0.00
0.39	1.54	0.00
0.39	1.54	0.00
0.39	1.53	0.00
0.39	1.52	0.00
0.39	1.51	0.00
0.39	1.49	0.00
0.40	1.49	0.00
0.40	1.49	0.00
0.40	1.49	0.00
0.40	1.48	0.01
0.40	1.47	0.01
0.40	1.48	0.00
0.40	1.48	0.00
0.40	1.49	0.00
0.40	1.50	0.00
0.40	1.51	0.00
0.41	1.51	0.00
0.41	1.51	0.00
0.41	1.51	0.00
0.41	1.50	0.00
0.41	1.50	0.00
0.41	1.49	0.00
0.41	1.50	0.00
0.41	1.49	0.00
0.41	1.49	0.00
0.41	1.49	0.00
0.41	1.49	0.00
0.42	1.50	0.00
0.42	1.50	0.00
0.42	1.50	0.00
0.42	1.50	0.00
0.42	1.51	0.00
0.42	1.50	0.00
0.42	1.49	0.00
0.42	1.49	0.00
0.42	1.48	0.00
0.42	1.48	0.00
0.43	1.49	0.00
0.43	1.49	0.00
0.43	1.49	0.00
0.43	1.50	0.00
0.43	1.50	0.00
0.43	1.50	0.00
0.43	1.49	0.00
0.43	1.49	0.00
0.43	1.48	0.00
0.43	1.49	0.00
0.44	1.49	0.00
0.44	1.49	0.00
0.44	1.49	0.00
0.44	1.50	0.00
0.44	1.50	0.00
0.44	1.51	0.00
0.44	1.51	0.00
0.44	1.51	0.00
0.44	1.50	0.00
0.45	1.50	0.00
0.45	1.50	0.00
0.45	1.50	0.00
0.45	1.50	0.00
0.45	1.50	0.00
0.45	1.51	0.00
0.45	1.51	0.00
0.45	1.50	0.00
0.45	1.50	0.00
0.45	1.49	0.00
0.46	1.50	0.00
0.46	1.50	0.00
0.46	1.49	0.00
0.46	1.50	0.00
0.46	1.49	0.00
0.46	1.49	0.00
0.46	1.49	0.00
0.46	1.49	0.00
0.46	1.50	0.00
0.46	1.51	0.00
0.47	1.52	0.00
0.47	1.51	0.00
0.47	1.51	0.00
0.47	1.50	0.00
0.47	1.50	0.00
0.47	1.50	0.00
0.47	1.49	0.00
0.47	1.50	0.00
0.47	1.50	0.00
0.47	1.50	0.00
0.47	1.51	0.00
0.48	1.50	0.00
0.48	1.50	0.00
0.48	1.50	0.00
0.48	1.50	0.00
0.48	1.50	0.00
0.48	1.49	0.00
0.48	1.49	0.00
0.48	1.49	0.00
0.48	1.48	0.00
0.48	1.48	0.00
0.49	1.48	0.00
0.49	1.49	0.00
0.49	1.50	0.00
0.49	1.50	0.00
0.49	1.50	0.00
0.49	1.50	0.00
0.49	1.50	0.00
0.49	1.50	0.00
0.49	1.50	0.00
0.49	1.49	0.00
0.50	1.50	0.00
0.50	1.50	0.00
0.50	1.50	0.00
0.50	1.50	0.00
0.50	1.50	0.00
0.50	1.50	0.00
0.50	1.50	0.00
0.50	1.50	0.00
0.50	1.50	0.00
0.51	1.50	0.00
0.51	1.49	0.00
0.51	1.49	0.00
0.51	1.49	0.00
0.51	1.49	0.00
0.51	1.49	0.00
0.51	1.49	0.00
0.51	1.49	0.00
0.51	1.50	0.00
0.51	1.51	0.00
0.52	1.50	0.00
0.52	1.51	0.00
0.52	1.51	0.00
0.52	1.51	0.00
0.52	1.51	0.00
0.52	1.50	0.00
0.52	1.50	0.00
0.52	1.50	0.00
0.52	1.51	0.00
0.52	1.51	0.00
0.53	1.51	0.00
0.53	1.51	0.00
0.53	1.51	0.00
0.53	1.50	0.00
0.53	1.50	0.00
0.53	1.50	0.00
0.53	1.49	0.00
0.53	1.49	0.00
0.53	1.50	0.00
0.53	1.50	0.00
0.54	1.50	0.00
0.54	1.50	0.00
0.54	1.51	0.00
0.54	1.51	0.00
0.54	1.50	0.00
0.54	1.50	0.00
0.54	1.50	0.00
0.54	1.50	0.00
0.54	1.50	0.00
0.54	1.50	0.00
0.55	1.50	0.00
0.55	1.50	0.00
0.55	1.50	0.00
0.55	1.50	0.00
0.55	1.50	0.00
0.55	1.50	0.00
0.55	1.50	0.00
0.55	1.50	0.00
0.55	1.49	0.00
0.55	1.49	0.00
0.56	1.50	0.00
0.56	1.49	0.00
0.56	1.50	0.00
0.56	1.50	0.00
0.56	1.50	0.00
0.56	1.51	0.00
0.56	1.50	0.00
0.56	1.50	0.00
0.56	1.50	0.00
0.56	1.50	0.00
0.56	1.50	0.00
0.57	1.49	0.00
0.57	1.48	0.00
0.57	1.48	0.00
0.57	1.49	0.00
0.57	1.50	0.00
0.57	1.50	0.00
0.57	1.49	0.00
0.57	1.49	0.00
0.57	1.49	0.00
0.57	1.48	0.00
0.58	1.49	0.00
0.58	1.49	0.00
0.58	1.49	0.00
0.58	1.50	0.00
0.58	1.50	0.00
0.58	1.50	0.00
0.58	1.49	0.00
0.58	1.49	0.00
0.58	1.49	0.00
0.58	1.49	0.00
0.59	1.49	0.00
0.59	1.50	0.00
0.59	1.49	0.00
0.59	1.49	0.00
0.59	1.49	0.00
0.59	1.49	0.00
0.59	1.49	0.00
0.59	1.49	0.00
0.59	1.49	0.00
0.59	1.50	0.00
0.60	1.50	0.00
0.60	1.50	0.00
0.60	1.51	0.00
0.60	1.50	0.00
0.60	1.50	0.00
0.60	1.50	0.00
0.60	1.50	0.00
0.60	1.49	0.00
0.60	1.50	0.00
0.60	1.50	0.00
0.61	1.49	0.00
0.61	1.49	0.00
0.61	1.50	0.00
0.61	1.50	0.00
0.61	1.49	0.00
0.61	1.49	0.00
0.61	1.49	0.00
0.61	1.49	0.00
0.61	1.49	0.00
0.61	1.49	0.00
0.62	1.49	0.00
0.62	1.50	0.00
0.62	1.50	0.00
0.62	1.50	0.00
0.62	1.50	0.00
0.62	1.50	0.00
0.62	1.50	0.00
0.62	1.50	0.00
0.62	1.49	0.00
0.63	1.49	0.00
0.63	1.49	0.00
0.63	1.49	0.00
0.63	1.49	0.00
0.63	1.50	0.00
0.63	1.49	0.00
0.63	1.49	0.00
0.63	1.49	0.00
0.63	1.48	0.00
0.63	1.48	0.00
0.64	1.48	0.00
0.64	1.49	0.00
0.64	1.49	0.00
0.64	1.49	0.00
0.64	1.50	0.00
0.64	1.50	0.00
0.64	1.48	0.00
0.64	1.48	0.00
0.64	1.49	0.00
0.64	1.49	0.00
0.65	1.49	0.00
0.65	1.49	0.00
0.65	1.49	0.00
0.65	1.50	0.00
0.65	1.50	0.00
0.65	1.50	0.00
0.65	1.49	0.00
0.65	1.49	0.00
0.65	1.49	0.00
0.65	1.49	0.00
0.66	1.50	0.00
0.66	1.51	0.00
0.66	1.51	0.00
0.66	1.50	0.00
0.66	1.50	0.00
0.66	1.49	0.00
0.66	1.49	0.00
0.66	1.49	0.00
0.66	1.49	0.00
0.66	1.49	0.00
0.67	1.50	0.00
0.67	1.50	0.00
0.67	1.49	0.00
0.67	1.49	0.00
0.67	1.48	0.00
0.67	1.48	0.00
0.67	1.48	0.00
0.67	1.48	0.00
0.67	1.48	0.00
0.67	1.48	0.00
0.68	1.48	0.00
0.68	1.49	0.00
0.68	1.50	0.00
0.68	1.49	0.00
0.68	1.50	0.00
0.68	1.49	0.00
0.68	1.49	0.00
0.68	1.49	0.00
0.68	1.49	0.00
0.68	1.49	0.00
0.69	1.49	0.00
0.69	1.49	0.00
0.69	1.49	0.00
0.69	1.49	0.00
0.69	1.49	0.00
0.69	1.49	0.00
0.69	1.49	0.00
0.69	1.48	0.00
0.69	1.48	0.00
0.69	1.48	0.00
0.69	1.48	0.00
0.70	1.49	0.00
0.70	1.50	0.00
0.70	1.51	0.00
0.70	1.51	0.00
0.70	1.51	0.00
0.70	1.51	0.00
0.70	1.51	0.00
0.70	1.49	0.00
0.70	1.48	0.00
0.70	1.48	0.00
0.71	1.48	0.00
0.71	1.49	0.00
0.71	1.50	0.00
0.71	1.50	0.00
0.71	1.51	0.00
0.71	1.50	0.00
0.71	1.49	0.00
0.71	1.48	0.00
0.71	1.48	0.00
0.71	1.48	0.00
0.72	1.49	0.00
0.72	1.50	0.00
0.72	1.51	0.00
0.72	1.50	0.00
0.72	1.50	0.00
0.72	1.49	0.00
0.72	1.48	0.00
0.72	1.47	0.00
0.72	1.47	0.00
0.72	1.47	0.00
0.73	1.48	0.00
0.73	1.49	0.00
0.73	1.50	0.00
0.73	1.49	0.00
0.73	1.49	0.00
