lambda	n	k
300	1.482454	2.08E-04
301	1.482133	2.10E-04
302	1.481816	2.11E-04
303	1.481502	2.12E-04
304	1.481191	2.14E-04
305	1.480883	2.15E-04
306	1.480578	2.16E-04
307	1.480276	2.18E-04
308	1.479977	2.19E-04
309	1.479681	2.20E-04
310	1.479388	2.22E-04
311	1.479097	2.23E-04
312	1.47881	2.24E-04
313	1.478525	2.25E-04
314	1.478243	2.27E-04
315	1.477963	2.28E-04
316	1.477686	2.29E-04
317	1.477412	2.30E-04
318	1.47714	2.32E-04
319	1.476871	2.33E-04
320	1.476605	2.34E-04
321	1.476341	2.35E-04
322	1.476079	2.36E-04
323	1.47582	2.37E-04
324	1.475563	2.39E-04
325	1.475309	2.40E-04
326	1.475056	2.41E-04
327	1.474807	2.42E-04
328	1.474559	2.43E-04
329	1.474314	2.44E-04
330	1.474071	2.45E-04
331	1.47383	2.46E-04
332	1.473591	2.47E-04
333	1.473355	2.48E-04
334	1.47312	2.49E-04
335	1.472888	2.50E-04
336	1.472658	2.51E-04
337	1.47243	2.52E-04
338	1.472204	2.53E-04
339	1.471979	2.54E-04
340	1.471757	2.55E-04
341	1.471537	2.56E-04
342	1.471319	2.57E-04
343	1.471102	2.58E-04
344	1.470888	2.58E-04
345	1.470675	2.59E-04
346	1.470464	2.60E-04
347	1.470255	2.61E-04
348	1.470048	2.62E-04
349	1.469843	2.63E-04
350	1.469639	2.63E-04
351	1.469437	2.64E-04
352	1.469237	2.65E-04
353	1.469038	2.66E-04
354	1.468842	2.66E-04
355	1.468646	2.67E-04
356	1.468453	2.68E-04
357	1.468261	2.69E-04
358	1.468071	2.69E-04
359	1.467882	2.70E-04
360	1.467695	2.71E-04
361	1.467509	2.71E-04
362	1.467325	2.72E-04
363	1.467143	2.72E-04
364	1.466962	2.73E-04
365	1.466782	2.74E-04
366	1.466604	2.74E-04
367	1.466427	2.75E-04
368	1.466252	2.75E-04
369	1.466078	2.76E-04
370	1.465906	2.76E-04
371	1.465735	2.77E-04
372	1.465566	2.77E-04
373	1.465397	2.78E-04
374	1.465231	2.78E-04
375	1.465065	2.79E-04
376	1.464901	2.79E-04
377	1.464738	2.80E-04
378	1.464576	2.80E-04
379	1.464416	2.80E-04
380	1.464257	2.81E-04
381	1.464099	2.81E-04
382	1.463942	2.82E-04
383	1.463787	2.82E-04
384	1.463633	2.82E-04
385	1.46348	2.83E-04
386	1.463328	2.83E-04
387	1.463178	2.83E-04
388	1.463028	2.83E-04
389	1.46288	2.84E-04
390	1.462733	2.84E-04
391	1.462587	2.84E-04
392	1.462442	2.85E-04
393	1.462298	2.85E-04
394	1.462155	2.85E-04
395	1.462014	2.85E-04
396	1.461873	2.85E-04
397	1.461734	2.86E-04
398	1.461595	2.86E-04
399	1.461458	2.86E-04
400	1.461322	2.86E-04
401	1.461186	2.86E-04
402	1.461052	2.86E-04
403	1.460919	2.86E-04
404	1.460786	2.86E-04
405	1.460655	2.87E-04
406	1.460524	2.87E-04
407	1.460395	2.87E-04
408	1.460267	2.87E-04
409	1.460139	2.87E-04
410	1.460012	2.87E-04
411	1.459887	2.87E-04
412	1.459762	2.87E-04
413	1.459638	2.87E-04
414	1.459515	2.87E-04
415	1.459393	2.87E-04
416	1.459272	2.87E-04
417	1.459151	2.87E-04
418	1.459032	2.87E-04
419	1.458913	2.87E-04
420	1.458796	2.87E-04
421	1.458679	2.87E-04
422	1.458562	2.87E-04
423	1.458447	2.86E-04
424	1.458333	2.86E-04
425	1.458219	2.86E-04
426	1.458106	2.86E-04
427	1.457994	2.86E-04
428	1.457883	2.86E-04
429	1.457772	2.86E-04
430	1.457663	2.85E-04
431	1.457554	2.85E-04
432	1.457445	2.85E-04
433	1.457338	2.85E-04
434	1.457231	2.85E-04
435	1.457125	2.85E-04
436	1.45702	2.84E-04
437	1.456915	2.84E-04
438	1.456812	2.84E-04
439	1.456708	2.84E-04
440	1.456606	2.83E-04
441	1.456504	2.83E-04
442	1.456403	2.83E-04
443	1.456303	2.83E-04
444	1.456203	2.82E-04
445	1.456104	2.82E-04
446	1.456006	2.82E-04
447	1.455908	2.81E-04
448	1.455811	2.81E-04
449	1.455715	2.81E-04
450	1.455619	2.80E-04
451	1.455524	2.80E-04
452	1.45543	2.80E-04
453	1.455336	2.79E-04
454	1.455243	2.79E-04
455	1.45515	2.79E-04
456	1.455058	2.78E-04
457	1.454967	2.78E-04
458	1.454876	2.78E-04
459	1.454786	2.77E-04
460	1.454696	2.77E-04
