lambda	n	k
350	2.7	0.01
351	2.7	0.01
352	2.7	0.01
353	2.7	0.01
354	2.7	0.01
355	2.7	0.01
356	2.7	0.01
357	2.7	0.01
358	2.7	0.01
359	2.7	0.01
360	2.7	0.01
361	2.7	0.0096677
362	2.7	9.35E-03
363	2.7	9.04E-03
364	2.7	8.74E-03
365	2.7	8.45E-03
366	2.7	0.0081646
367	2.7	7.89E-03
368	2.7	7.63E-03
369	2.7	7.38E-03
370	2.7	0.0071322
371	2.695307	6.90E-03
372	2.690677	6.67E-03
373	2.686108	6.44E-03
374	2.681601	6.23E-03
375	2.677153	0.0060233
376	2.672764	5.82E-03
377	2.668433	5.63E-03
378	2.664159	5.44E-03
379	2.659942	5.26E-03
380	2.655779	5.09E-03
381	2.651671	4.92E-03
382	2.647617	4.75E-03
383	2.643615	4.60E-03
384	2.639666	0.0044436
385	2.635767	4.30E-03
386	2.631919	4.15E-03
387	2.62812	4.02E-03
388	2.62437	3.88E-03
389	2.620668	3.75E-03
390	2.617013	3.63E-03
391	2.613405	3.51E-03
392	2.609842	3.39E-03
393	2.606325	0.0032782
394	2.602852	3.17E-03
395	2.599423	3.06E-03
396	2.596037	2.96E-03
397	2.592694	2.86E-03
398	2.589393	2.77E-03
399	2.586132	2.68E-03
400	2.582913	2.59E-03
401	2.579733	2.50E-03
402	2.576593	2.42E-03
403	2.573491	2.34E-03
404	2.570428	2.26E-03
405	2.567402	2.19E-03
406	2.564414	2.11E-03
407	2.561462	2.04E-03
408	2.558546	1.97E-03
409	2.555666	1.91E-03
410	2.552821	1.85E-03
411	2.55001	1.78E-03
412	2.547233	1.72E-03
413	2.54449	1.67E-03
414	2.541779	1.61E-03
415	2.539102	1.56E-03
416	2.536456	1.51E-03
417	2.533842	1.46E-03
418	2.531259	1.41E-03
419	2.528707	1.36E-03
420	2.526185	1.32E-03
421	2.523693	0.0012725
422	2.52123	1.23E-03
423	2.518796	1.19E-03
424	2.516391	1.15E-03
425	2.514014	1.11E-03
426	2.511665	1.07E-03
427	2.509343	1.04E-03
428	2.507049	1.00E-03
429	2.504781	9.71E-04
430	2.502539	9.39E-04
431	2.500323	9.08E-04
432	2.498133	8.77E-04
433	2.495968	8.48E-04
434	2.493828	8.20E-04
435	2.491712	7.93E-04
436	2.489621	7.66E-04
437	2.487553	7.41E-04
438	2.485509	7.16E-04
439	2.483488	6.93E-04
440	2.48149	6.70E-04
441	2.479514	6.47E-04
442	2.477561	6.26E-04
443	2.47563	6.05E-04
444	2.47372	5.85E-04
445	2.471832	5.65E-04
446	2.469965	5.47E-04
447	2.468119	5.28E-04
448	2.466293	5.11E-04
449	2.464488	4.94E-04
450	2.462702	4.78E-04
451	2.460937	4.62E-04
452	2.45919	4.46E-04
453	2.457463	4.31E-04
454	2.455755	4.17E-04
455	2.454066	4.03E-04
456	2.452395	3.90E-04
457	2.450742	3.77E-04
458	2.449108	3.64E-04
459	2.447491	3.52E-04
460	2.445891	3.41E-04
461	2.444309	3.29E-04
462	2.442744	3.18E-04
463	2.441196	3.08E-04
464	2.439664	2.98E-04
465	2.438149	2.88E-04
466	2.43665	2.78E-04
467	2.435167	2.69E-04
468	2.4337	2.60E-04
469	2.432248	2.51E-04
