lambda	n	k
0.349997036	2.027707832	0.674061607
0.350647367	2.002654183	0.700495379
0.351297134	1.977511985	0.7282813
0.351947315	1.952344344	0.757481642
0.352596898	1.9272251	0.788153911
0.353246872	1.902237604	0.820352303
0.353897225	1.877471294	0.854130236
0.354546936	1.853027345	0.889528157
0.355197002	1.82901626	0.926574595
0.355847414	1.805553457	0.965299584
0.356497136	1.782757575	1.005706006
0.357147178	1.760757475	1.047796205
0.35779753	1.739676186	1.091550839
0.358447145	1.719641523	1.136937539
0.359097044	1.700769855	1.183907978
0.359747216	1.683179609	1.232405614
0.360396604	1.666975123	1.282355669
0.361047289	1.652249595	1.333678644
0.361697162	1.639086466	1.386284401
0.362347261	1.627554342	1.440080948
0.362997576	1.617710584	1.494970747
0.363647029	1.609604132	1.550859588
0.36429667	1.603262187	1.607653458
0.364947561	1.598713388	1.665264093
0.365597549	1.595973111	1.723606733
0.36624661	1.595051127	1.782604302
0.366896895	1.595952943	1.842187774
0.367547313	1.598679264	1.902292141
0.368196761	1.603235603	1.962858731
0.368847411	1.609617692	2.02383772
0.369497062	1.61783117	2.085180495
0.370146794	1.627878947	2.146848822
0.370796598	1.639767618	2.208806882
0.371446461	1.653511938	2.271017774
0.37209749	1.669122709	2.333450368
0.372747443	1.68662179	2.396076598
0.373397421	1.706034275	2.458866191
0.374047414	1.727388142	2.521787023
0.374697408	1.75072058	2.584809964
0.375347393	1.776071086	2.647900773
0.375997356	1.803484968	2.711023428
0.376647285	1.833013987	2.774135951
0.377297169	1.864714029	2.837193756
0.377946995	1.89864745	2.900143469
0.378596752	1.934878147	2.962928187
0.379246426	1.973476786	3.02548023
0.379897169	2.014519503	3.087723891
0.380546646	2.058081622	3.149571393
0.381197175	2.104241647	3.210923996
0.381846404	2.1530835	3.271670607
0.382496668	2.204686468	3.331684622
0.383146783	2.259129822	3.390825497
0.383796735	2.316489764	3.448933868
0.384446512	2.376840614	3.50583247
0.385097296	2.440243597	3.561326833
0.385746687	2.506754614	3.615198293
0.386397068	2.576410952	3.667211938
0.387047229	2.649238214	3.717108166
0.387697157	2.725236092	3.764607782
0.388346838	2.804381439	3.80941403
0.38899626	2.886617544	3.851206414
0.389646633	2.971855562	3.88965236
0.390296727	3.059961972	3.924406614
0.390946528	3.150761436	3.955115375
0.39159726	3.244025083	3.98142421
0.392246438	3.339472276	4.002985771
0.392896528	3.436763649	4.019463196
0.393546278	3.535504203	4.030549586
0.394196927	3.635239686	4.035970463
0.394847216	3.735460035	4.035498937
0.395497131	3.835608678	4.028968098
0.396146657	3.93508465	4.016278278
0.396797051	4.033258307	3.997409482
0.397447035	4.129481522	3.97242969
0.398096596	4.223103237	3.941497298
0.398747001	4.313485253	3.904865558
0.399396962	4.400021104	3.8628792
0.400046463	4.482150455	3.815970742
0.400696785	4.559373869	3.764647404
0.401346627	4.631267014	3.709487047
0.401997276	4.697490436	3.651114405
0.402646116	4.757794607	3.590194914
0.403297054	4.81202292	3.527410464
0.403946151	4.860114064	3.463447519
0.404597341	4.902092902	3.39898291
0.40524666	4.9380693	3.334667661
0.405896738	4.968227061	3.271120623
0.406546239	4.992816989	3.208915936
0.407196485	5.012141894	3.148580055
0.40784613	5.026553713	3.090587684
0.408496506	5.03643987	3.03535938
0.409146259	5.042213974	2.983261932
0.409796728	5.044311995	2.934611304
0.410446551	5.043183415	2.889672812
0.411097075	5.03928847	2.848666054
0.411746929	5.033093907	2.811763552
0.412396098	5.025071223	2.779098918
0.413047317	5.015692141	2.750764922
0.413696454	5.005432708	2.726816201
0.414346251	4.994768222	2.707269767
0.414996703	4.984176745	2.692106578
0.415646414	4.97413699	2.681268133
0.416296764	4.965124764	2.674655851
0.416946348	4.957619355	2.672128304
0.417596556	4.952093147	2.673500802
0.418245974	4.949013532	2.678537837
0.418895999	4.948835071	2.686951537
0.419546628	4.95199733	2.698399072
0.420196433	4.958913972	2.712480006
0.420846826	4.969966539	2.728733663
0.421496369	4.985491914	2.746639697
0.422146483	5.00577416	2.765620173
0.422797164	5.031029293	2.785041427
0.423446962	5.061396029	2.80422534
0.424095858	5.096920878	2.822455036
0.424746746	5.137552788	2.83899078
0.425396716	5.183128067	2.853080188
0.426047215	5.233368567	2.863986132
0.426696769	5.287877854	2.870996725
0.427346833	5.346143243	2.873457426
0.427995927	5.407543549	2.870786866
0.428646995	5.471360272	2.862502965
0.429297074	5.536794739	2.848240858
0.429946146	5.602994578	2.827770896
0.430597183	5.669075365	2.801006157
0.431247196	5.734154106	2.768010714
0.431896164	5.797375696	2.728993398
0.432547089	5.857944929	2.684302292
0.433196952	5.915149415	2.634401755
0.433847252	5.968379951	2.579858375
0.434496462	6.017146141	2.521310708
0.435146091	6.061082017	2.459442053
0.435796134	6.099948346	2.394957165
0.436446585	6.133624583	2.328555458
0.437095899	6.162102768	2.260909226
0.437747147	6.185470266	2.192647352
0.438395689	6.203895203	2.124343589
0.439046155	6.217608406	2.056505358
0.439696995	6.226890978	1.989573134
0.44034664	6.232055169	1.923918302
0.440996639	6.233430785	1.859846592
0.441646986	6.231358276	1.797600058
0.442296098	6.226174466	1.737365385
0.442947122	6.21820714	1.679276641
0.44359689	6.207771411	1.623427206
0.444246976	6.195164477	1.569870346
0.444895777	6.180661614	1.5186303
0.445546476	6.164518708	1.469704356
0.446195869	6.146970671	1.423070073
0.446847159	6.128228365	1.378688831
0.447497122	6.108485907	1.336510409
0.448145738	6.087915672	1.296474923
0.448796238	6.066674214	1.25851739
0.449447	6.04489968	1.222567849
0.450096384	6.022718662	1.188553775
0.450746008	6.000242375	1.156403286
0.451395867	5.97757172	1.126043369
0.452045954	5.954797278	1.097401758
0.452696264	5.932001861	1.070409307
0.453346789	5.909260148	1.044995455
0.453995862	5.886642059	1.021094869
0.454646797	5.864209423	0.998640154
0.455296256	5.842025071	0.977566842
0.455945897	5.8201437	0.957811403
0.456595713	5.798619763	0.939308874
0.457245698	5.777505888	0.921994733
0.457895845	5.756851267	0.905801585
0.458546147	5.736702433	0.890659758
0.459196599	5.717104769	0.876496969
0.459845487	5.698099379	0.863236085
0.460496212	5.679722767	0.850794167
0.461147065	5.662003572	0.839085483
0.461796322	5.644964895	0.828014892
0.462445684	5.628619328	0.817487332
0.463096874	5.612967554	0.807399999
0.463746433	5.597995013	0.797651657
0.464396076	5.583675021	0.78814132
0.465045798	5.569962794	0.778771809
0.465695591	5.55679923	0.769452849
0.466345449	5.5441117	0.760108242
0.466995363	5.531811835	0.750674485
0.467647092	5.519808861	0.741107184
0.468297105	5.508001109	0.731379664
0.46894538	5.496292617	0.721486332
0.469595452	5.484587101	0.711439153
0.470245545	5.472800638	0.701268008
0.470895653	5.46085838	0.691016821
0.471545767	5.448698486	0.680738714
0.47219588	5.436277502	0.670494653
0.472845985	5.423561668	0.660349272
0.473496074	5.410534547	0.650364575
0.47414614	5.397190992	0.640601751
0.474796175	5.383534142	0.631117944
0.475446172	5.369577819	0.621961374
0.476096122	5.355339217	0.613178711
0.476746019	5.340843505	0.604805214
0.477395855	5.326113754	0.596873283
0.478045621	5.311176851	0.589406094
0.47869531	5.296059902	0.582426381
0.479346767	5.280788407	0.575948091
0.479996283	5.265386175	0.569983834
0.480645699	5.249877	0.56454275
0.481296874	5.234281317	0.559634613
0.481946069	5.218620185	0.555262674
0.482597018	5.202908835	0.551434801
0.483245961	5.187165394	0.548155839
0.483896651	5.171404458	0.545430168
0.484545309	5.155638298	0.543264449
0.485195708	5.139882503	0.541666079
0.485845951	5.124147144	0.540642164
0.486496031	5.108444955	0.540203531
0.487145939	5.092789898	0.54036001
0.487795666	5.077192631	0.541123845
0.488445204	5.0616685	0.542510834
0.489096475	5.046231328	0.544537066
0.489745615	5.030898431	0.547219356
0.490396481	5.01568915	0.550579376
0.49104519	5.000624374	0.55463874
0.491695617	4.985727908	0.559421824
0.492345814	4.971028313	0.564953531
0.492995773	4.956558346	0.571262316
0.493645485	4.942356476	0.578374914
0.494296911	4.928463683	0.586322673
0.494946108	4.914931836	0.595134398
0.495595031	4.901816149	0.604840106
0.496245657	4.889182021	0.615467984
0.496896003	4.877103098	0.627044362
0.497546059	4.865662164	0.639592289
0.498195816	4.854954152	0.653130782
0.498845266	4.845083496	0.66767064
0.49949641	4.836166955	0.683213593
0.500145222	4.828330125	0.699751242
0.500795722	4.821713517	0.717259536
0.501445887	4.816465541	0.735697156
